"dayl_mean","prcp_mean","srad_mean","tmax_mean","tmin_mean","vp_mean","dayl_sum","prcp_sum","srad_sum","tmax_sum","tmin_sum","vp_sum","par_sum","par_tot","lagg_tmax_1","diff_tmax_1","diff_tmax_2","diff_tmax_3","diff_tmax_4","diff_tmax_5","diff_tmax_6","roll_tmax_2","roll_tmax_3","roll_tmax_4","roll_tmax_5","roll_tmax_6","lagg_tmin_1","diff_tmin_1","diff_tmin_2","diff_tmin_3","diff_tmin_4","diff_tmin_5","diff_tmin_6","roll_tmin_2","roll_tmin_3","roll_tmin_4","roll_tmin_5","roll_tmin_6","lagg_prcp_1","diff_prcp_1","diff_prcp_2","diff_prcp_3","diff_prcp_4","diff_prcp_5","diff_prcp_6","roll_prcp_2","roll_prcp_3","roll_prcp_4","roll_prcp_5","roll_prcp_6","lagg_vp_1","diff_vp_1","diff_vp_2","diff_vp_3","diff_vp_4","diff_vp_5","diff_vp_6","roll_vp_2","roll_vp_3","roll_vp_4","roll_vp_5","roll_vp_6","lagg_srad_1","diff_srad_1","diff_srad_2","diff_srad_3","diff_srad_4","diff_srad_5","diff_srad_6","roll_srad_2","roll_srad_3","roll_srad_4","roll_srad_5","roll_srad_6","lagg_par_1","diff_par_1","diff_par_2","diff_par_3","diff_par_4","diff_par_5","diff_par_6","roll_par_2","roll_par_3","roll_par_4","roll_par_5","roll_par_6","key"
37336.3201822917,4.43333333333333,291.733332824707,20.5833333333333,9.11666666666667,1196,1120089.60546875,133,8751.99998474121,617.5,273.5,35880,18501.7279677429,20723.5931798793,28.4032258064516,-7.81989247311828,-11.5166666666667,-12.1747311827957,-12.9166666666667,-12.0666666666667,-10.6102150537634,24.4932795698925,27.028853046595,28.4611559139785,29.4689247311828,29.9991039426523,19.4193548387097,-10.302688172043,-13.85,-14.8672043010753,-14.3510752688172,-13.5333333333333,-11.9155913978495,14.2680107526882,17.1675627240143,18.8716397849462,19.7908602150538,20.2673835125448,5.29032258064516,-0.856989247311827,0.7,-1.50215053763441,1.43333333333333,-0.133333333333333,2.9494623655914,4.86182795698925,4.48566308243728,4.84811827956989,4.47849462365591,4.49318996415771,2287.74193548387,-1091.74193548387,-1625.33333333333,-1789.8064516129,-1691.74193548387,-1476,-1090.45161290323,1741.87096774194,2101.6917562724,2322.72043010753,2435.7247311828,2475.10394265233,291.303224625126,0.430108199581014,-50.9866694132487,-37.0408626925561,-80.8086007887317,-73.1733311971029,-100.627954938335,291.518278724917,308.58551989593,313.632688801263,325.414537763698,331.996558806717,23817.3207102229,-3093.72753034362,-7835.96836652432,-10811.3134199766,-16933.1245664669,-14267.6872401019,-18314.4251025244,44540.9138901022,73100.4754365058,104635.382036362,142292.099782708,177283.380202689,"2019-11-15 faa"
35998.140625,7.48387096774194,220.696774390436,19.5645161290323,9.5,1232.25806451613,1115942.359375,232,6841.60000610352,606.5,294.5,38200,14463.1424129028,16140.0332682314,20.5833333333333,-1.01881720430107,-8.83870967741935,-12.5354838709677,-13.1935483870968,-13.9354838709677,-13.0854838709677,20.0739247311828,22.8503584229391,25.1627688172043,26.6818279569892,27.8181899641577,9.11666666666667,0.383333333333333,-9.91935483870968,-13.4666666666667,-14.4838709677419,-13.9677419354839,-13.15,9.30833333333333,12.6786738351254,15.2506720430108,16.997311827957,18.0757168458781,4.43333333333333,3.0505376344086,2.19354838709677,3.7505376344086,1.54838709677419,4.48387096774194,2.91720430107527,5.95860215053763,5.73584229390681,5.23521505376344,5.3752688172043,4.97939068100358,1196,36.258064516129,-1055.48387096774,-1589.0752688172,-1753.54838709677,-1655.48387096774,-1439.74193548387,1214.12903225806,1572,1884.33333333333,2104.62795698925,2235.14695340502,291.733332824707,-71.036558434271,-70.60645023469,-122.02322784752,-108.077421126827,-151.845159223003,-144.209889631374,256.215053607572,267.911110613423,286.613333519556,295.045505919098,307.961577201488,20723.5931798793,-4583.55991164789,-7677.28744199151,-12419.5282781722,-15394.8733316245,-21516.6844781147,-18851.2471517498,36863.6264481107,60680.9471583336,89240.5087047373,120775.415304593,158432.133050939,"2019-12-15 faa"
36722.7869203629,0.387096774193548,269.625808223601,19.8548387096774,9.83870967741935,1251.61290322581,1138406.39453125,12,8358.40005493164,615.5,305,38800,17669.6577161255,20115.2513332157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-01-15 fab"
39200.9144810268,4.39285714285714,308.457143511091,18.7678571428571,7.89285714285714,1115.71428571429,1097625.60546875,123,8636.80001831055,525.5,221,31240,18258.1952387085,20040.6626036541,19.8548387096774,-1.08698156682028,NA,NA,NA,NA,NA,19.3113479262673,NA,NA,NA,NA,9.83870967741935,-1.94585253456221,NA,NA,NA,NA,NA,8.86578341013825,NA,NA,NA,NA,0.387096774193548,4.0057603686636,NA,NA,NA,NA,NA,2.38997695852535,NA,NA,NA,NA,1251.61290322581,-135.898617511521,NA,NA,NA,NA,NA,1183.66359447005,NA,NA,NA,NA,269.625808223601,38.8313352874897,NA,NA,NA,NA,NA,289.041475867346,NA,NA,NA,NA,20115.2513332157,-74.588729561634,NA,NA,NA,NA,NA,40155.9139368698,NA,NA,NA,NA,"2013-02-15 fab"
42508.8000252016,2.61290322580645,400.412903816469,18.6451612903226,7.11290322580645,1043.87096774194,1317772.80078125,81,12412.8000183105,578,220.5,32360,26240.6592387085,34579.2270193393,18.7678571428571,-0.122695852534562,-1.20967741935484,NA,NA,NA,NA,18.7065092165899,19.0892857142857,NA,NA,NA,7.89285714285714,-0.779953917050691,-2.7258064516129,NA,NA,NA,NA,7.5028801843318,8.28149001536098,NA,NA,NA,4.39285714285714,-1.77995391705069,2.2258064516129,NA,NA,NA,NA,3.5028801843318,2.46428571428571,NA,NA,NA,1115.71428571429,-71.8433179723504,-207.741935483871,NA,NA,NA,NA,1079.79262672811,1137.06605222734,NA,NA,NA,308.457143511091,91.9557603053783,130.787095592868,NA,NA,NA,NA,354.43502366378,326.165285183721,NA,NA,NA,20040.6626036541,14538.5644156852,14463.9756861236,NA,NA,NA,NA,54619.8896229933,74735.140956209,NA,NA,NA,"2013-03-15 fab"
46010.8799479167,5.23333333333333,368.960000610352,24.2333333333333,14.7166666666667,1694.66666666667,1380326.3984375,157,11068.8000183105,727,441.5,50840,23399.4432387085,32298.8692111292,18.6451612903226,5.58817204301075,5.46547619047619,4.37849462365591,NA,NA,NA,21.439247311828,20.548783922171,20.3752976190476,NA,NA,7.11290322580645,7.60376344086021,6.82380952380952,4.87795698924731,NA,NA,NA,10.9147849462366,9.90747567844342,9.8902841781874,NA,NA,2.61290322580645,2.62043010752688,0.84047619047619,4.84623655913979,NA,NA,NA,3.92311827956989,4.07969790066564,3.15654761904762,NA,NA,1043.87096774194,650.795698924731,578.952380952381,443.05376344086,NA,NA,NA,1369.2688172043,1284.75064004096,1276.46620583717,NA,NA,400.412903816469,-31.4529032061177,60.5028570992606,99.3341923867503,NA,NA,NA,384.68645221341,359.276682645971,336.863964040378,NA,NA,34579.2270193393,-2280.35780821006,12258.2066074751,12183.6178779135,NA,NA,NA,66878.0962304685,86918.7588341225,107034.010167338,NA,NA,"2013-04-15 fab"
48974.8642893145,1.64516129032258,403.612899780273,27.3225806451613,17.9516129032258,2094.1935483871,1518220.79296875,51,12511.9998931885,847,556.5,64920,26450.3677742004,40157.4983364617,24.2333333333333,3.08924731182796,8.67741935483871,8.55472350230415,7.46774193548387,NA,NA,25.7779569892473,23.4003584229391,22.2422331029186,21.7647542242704,NA,14.7166666666667,3.23494623655914,10.8387096774194,10.0587557603687,8.11290322580645,NA,NA,16.3341397849462,13.260394265233,11.918509984639,11.5025499231951,NA,5.23333333333333,-3.58817204301075,-0.967741935483871,-2.74769585253456,1.25806451612903,NA,NA,3.43924731182796,3.16379928315412,3.47106374807988,2.85427035330261,NA,1694.66666666667,399.52688172043,1050.32258064516,978.479262672811,842.58064516129,NA,NA,1894.43010752688,1610.91039426523,1487.1113671275,1440.01167434716,NA,368.960000610352,34.6528991699219,3.19999596380416,95.1557562691825,133.987091556672,NA,NA,386.286450195313,390.995268069031,370.360736929546,350.213751188357,NA,32298.8692111292,7858.62912533245,5578.27131712239,20116.8357328076,20042.247003246,NA,NA,72456.3675475909,107035.59456693,127076.257170584,147191.5085038,NA,"2013-05-15 fab"
50400.0013020833,6.83333333333333,345.280002339681,31.5333333333333,23.4,2877.33333333333,1512000.0390625,205,10358.4000701904,946,702,86320,21897.6577483826,33109.2593709317,27.3225806451613,4.21075268817204,7.3,12.8881720430108,12.7654761904762,11.6784946236559,NA,29.4279569892473,27.6964157706093,25.4336021505376,24.1004531490015,23.3928507424475,17.9516129032258,5.44838709677419,8.68333333333333,16.2870967741935,15.5071428571429,13.5612903225806,NA,20.6758064516129,18.6894265232975,15.7952956989247,14.2148079877112,13.4854582693292,1.64516129032258,5.18817204301075,1.6,4.22043010752688,2.44047619047619,6.44623655913978,NA,4.23924731182796,4.57060931899642,4.08118279569892,4.14351766513057,3.51744751664106,2094.1935483871,783.139784946237,1182.66666666667,1833.4623655914,1761.61904761905,1625.72043010753,NA,2485.76344086022,2222.06451612903,1927.51612903226,1765.15576036866,1679.56528417819,403.612899780273,-58.3328974405924,-23.6799982706706,-55.1329014767883,36.82285882859,75.6541941160797,NA,374.446451059977,372.617634243435,379.566451636694,365.344590011573,349.391459713578,40157.4983364617,-7048.23896552996,810.390159802493,-1469.96764840757,13068.5967672776,12994.008037716,NA,73266.7577073933,105565.626918523,140144.853937862,160185.516541516,180300.767874732,"2013-06-15 fab"
49755.2517641129,4.35483870967742,332.387095789756,31.2903225806452,23.7258064516129,2935.48387096774,1542412.8046875,135,10303.9999694824,970,735.5,91000,21782.6559354858,33597.8474349955,31.5333333333333,-0.243010752688175,3.96774193548387,7.05698924731183,12.6451612903226,12.522465437788,11.4354838709677,31.4118279569892,30.0487455197133,28.5948924731183,26.6049462365591,25.2987647209421,23.4,0.325806451612905,5.7741935483871,9.00913978494624,16.6129032258065,15.8329493087558,13.8870967741935,23.5629032258065,21.6924731182796,19.9485215053763,17.3813978494624,15.7999743983615,6.83333333333333,-2.47849462365591,2.70967741935484,-0.878494623655914,1.74193548387097,-0.0380184331797242,3.96774193548387,5.59408602150538,4.27777777777778,4.51666666666667,4.13591397849462,4.17873783922171,2877.33333333333,58.1505376344085,841.290322580645,1240.81720430108,1891.61290322581,1819.76958525346,1683.87096774194,2906.40860215054,2635.67025089606,2400.41935483871,2129.10967741935,1960.21044546851,345.280002339681,-12.8929065499254,-71.2258039905179,-36.572904820596,-68.0258080267137,23.9299522786646,62.7612875661542,338.833549064718,360.426665969903,362.559999630015,370.130580467306,359.851674307937,33109.2593709317,488.588064063835,-6559.65090146612,1298.97822386633,-981.379584343733,13557.1848313415,13482.5961017798,66707.1068059272,106864.605142389,139163.474353518,173742.701372857,193783.363976511,"2013-07-15 fab"
47213.4193548387,10.1612903225806,336.206448462702,31.9838709677419,23.758064516129,2949.67741935484,1463616,315,10422.3999023438,991.5,736.5,91440,22032.9533935547,32247.7831140609,31.2903225806452,0.693548387096776,0.450537634408601,4.66129032258064,7.7505376344086,13.3387096774194,13.2160138248848,31.6370967741935,31.6025089605735,30.5325268817204,29.272688172043,27.5014336917563,23.7258064516129,0.0322580645161281,0.358064516129033,5.80645161290322,9.04139784946237,16.6451612903226,15.8652073732719,23.741935483871,23.6279569892473,22.2088709677419,20.7104301075269,18.4441756272401,4.35483870967742,5.80645161290323,3.32795698924731,8.51612903225807,4.92795698924731,7.54838709677419,5.7684331797235,7.25806451612903,7.11648745519713,5.74865591397849,5.64559139784946,5.14014336917563,2935.48387096774,14.1935483870966,72.3440860215051,855.483870967742,1255.01075268817,1905.8064516129,1833.96313364055,2942.58064516129,2920.83154121864,2714.17204301075,2510.27096774194,2265.87096774194,332.387095789756,3.81935267294602,-9.07355387697942,-67.4064513175719,-32.75355214765,-64.2064553537677,27.7493049516106,334.296772126229,337.957848864046,354.371611593103,357.289289396553,364.476558466539,33597.8474349955,-1350.0643209346,-861.476256870767,-7909.71522240072,-51.0860970682734,-2331.44390527833,12207.1205104069,65845.6305490565,98954.8899199882,139112.38825645,171411.257467579,205990.484486918,"2013-08-15 fab"
43799.0399739583,5.1,318.4,30.0166666666667,22,2654.66666666667,1313971.19921875,153,9552,900.5,660,79640,20192.928,26532.9258198979,31.9838709677419,-1.96720430107527,-1.27365591397849,-1.51666666666667,2.69408602150537,5.78333333333333,11.3715053763441,31.0002688172043,31.0969534050179,31.2060483870968,30.4293548387097,29.3966845878136,23.758064516129,-1.75806451612903,-1.7258064516129,-1.4,4.04838709677419,7.28333333333333,14.8870967741935,22.8790322580645,23.1612903225806,23.2209677419355,22.1670967741935,20.9253584229391,10.1612903225806,-5.06129032258065,0.745161290322581,-1.73333333333333,3.45483870967742,-0.133333333333334,2.48709677419355,7.63064516129032,6.53870967741936,6.61236559139785,5.6189247311828,5.55465949820789,2949.67741935484,-295.010752688172,-280.817204301075,-222.666666666667,560.47311827957,960,1610.79569892473,2802.17204301075,2846.60931899642,2854.29032258064,2702.27096774194,2534.33691756272,336.206448462702,-17.8064484627016,-13.9870957897556,-26.880002339681,-85.2128997802735,-50.5600006103516,-82.0129038164693,327.303224231351,328.997848084152,333.068386648035,347.177289274482,350.807741163794,32247.7831140609,-5714.85729416306,-7064.92161509766,-6576.33355103383,-13624.5725165638,-5765.94339123133,-8046.30119944139,58780.7089339588,92378.5563689543,125487.815739886,165645.314076348,197944.183287477,"2013-09-15 fab"
40245.6774193548,1.38709677419355,349.935484855406,26.3548387096774,16.0806451612903,1870.96774193548,1247616,43,10848.0000305176,817,498.5,58000,22932.6720645142,28611.1685904409,30.0166666666667,-3.66182795698925,-5.62903225806452,-4.93548387096774,-5.17849462365592,-0.967741935483872,2.12150537634409,28.185752688172,29.4517921146953,29.9114247311828,30.2358064516129,29.7502688172043,22,-5.91935483870968,-7.67741935483871,-7.64516129032258,-7.31935483870967,-1.87096774193548,1.36397849462366,19.0403225806452,20.6129032258065,21.3911290322581,21.7929032258064,21.152688172043,5.1,-3.71290322580645,-8.7741935483871,-2.96774193548387,-5.44623655913978,-0.258064516129032,-3.84623655913978,3.24354838709677,5.5494623655914,5.2508064516129,5.56731182795699,4.91362007168459,2654.66666666667,-783.698924731183,-1078.70967741935,-1064.51612903226,-1006.36559139785,-223.225806451613,176.301075268817,2262.81720430108,2491.770609319,2602.69892473118,2657.62580645161,2563.72043010753,318.4,31.5354848554057,13.7290363927041,17.5483890656502,4.65548251572471,-53.6774149248677,-19.0245157549459,334.167742427703,334.847311106036,334.232257276966,336.441806289509,347.63698853797,26532.9258198979,2078.24277054302,-3636.61452362004,-4986.67884455464,-4498.09078049081,-11546.3297460208,-3687.70062068831,55144.0944103388,87391.8775243997,120989.724959395,154098.984330327,194256.482666789,"2013-10-15 fab"
37336.3201822917,2.53333333333333,268.906667073568,21.05,11.35,1396,1120089.60546875,76,8067.20001220703,631.5,340.5,41880,17054.0608258057,19102.0762620167,26.3548387096774,-5.30483870967742,-8.96666666666667,-10.9338709677419,-10.2403225806452,-10.4833333333333,-6.27258064516129,23.7024193548387,25.8071684587814,27.3513440860215,28.1391397849462,28.7048387096774,16.0806451612903,-4.73064516129032,-10.65,-12.408064516129,-12.3758064516129,-12.05,-6.60161290322581,13.7153225806452,16.4768817204301,18.2971774193548,19.3829032258065,20.0524193548387,1.38709677419355,1.14623655913978,-2.56666666666667,-7.62795698924731,-1.82150537634409,-4.3,0.888172043010752,1.96021505376344,3.00681003584229,4.79543010752688,4.70731182795699,5.06164874551971,1870.96774193548,-474.967741935484,-1258.66666666667,-1553.67741935484,-1539.48387096774,-1481.33333333333,-698.193548387097,1633.48387096774,1973.87813620072,2217.82795698925,2361.35913978495,2447.35483870968,349.935484855406,-81.028817781838,-49.4933329264323,-67.2997813891339,-63.4804287161879,-76.3733352661133,-134.706232706706,309.421075964487,312.414050642991,318.362150097919,321.167139236286,325.185949753519,28611.1685904409,-9509.09232842417,-7430.84955788115,-13145.7068520442,-14495.7711729788,-14007.183108915,-21055.4220744449,47713.2448524576,74246.1706723555,106493.953786416,140091.801221412,173201.060592344,"2013-11-15 fab"
35998.140625,2.38709677419355,247.535485052293,20.241935483871,9.54838709677419,1233.54838709677,1115942.359375,74,7673.60003662109,627.5,296,38240,16221.990477417,18102.8063271275,21.05,-0.808064516129033,-6.11290322580645,-9.7747311827957,-11.741935483871,-11.0483870967742,-11.2913978494624,20.6459677419355,22.5489247311828,24.4158602150538,25.9294623655914,26.8229390681004,11.35,-1.80161290322581,-6.53225806451613,-12.4516129032258,-14.2096774193548,-14.1774193548387,-13.8516129032258,10.4491935483871,12.3263440860215,14.7447580645161,16.5474193548387,17.7438172043011,2.53333333333333,-0.146236559139785,1,-2.71290322580645,-7.7741935483871,-1.96774193548387,-4.44623655913978,2.46021505376344,2.10250896057348,2.85188172043011,4.31376344086021,4.32060931899642,1396,-162.451612903226,-637.41935483871,-1421.11827956989,-1716.12903225806,-1701.93548387097,-1643.78494623656,1314.77419354839,1500.17204301075,1788.79569892473,2020.97204301075,2173.39068100358,268.906667073568,-21.3711820212743,-102.399999803112,-70.8645149477066,-88.6709634104082,-84.8516107374622,-97.7445172873877,258.221076062931,288.792545660422,296.194409245317,304.196817088794,308.895196872287,19102.0762620167,-999.269934889231,-10508.3622633134,-8430.11949277038,-14144.9767869334,-15495.041107868,-15006.4530438042,37204.8825891442,65816.0511795851,92348.976999483,124596.760113544,158194.607548539,"2013-12-15 fab"
36722.7869203629,5.06451612903226,267.354838463568,14.5,3.09677419354839,796.129032258065,1138406.39453125,157,8287.99999237061,449.5,96,24680,17520.8319838715,19945.8271679469,20.241935483871,-5.74193548387097,-6.55,-11.8548387096774,-15.5166666666667,-17.4838709677419,-16.7903225806452,17.3709677419355,18.597311827957,20.5366935483871,22.432688172043,24.0245519713262,9.54838709677419,-6.45161290322581,-8.25322580645161,-12.9838709677419,-18.9032258064516,-20.6612903225806,-20.6290322580645,6.32258064516129,7.99838709677419,10.0189516129032,12.4151612903226,14.3056451612903,2.38709677419355,2.67741935483871,2.53118279569892,3.67741935483871,-0.0354838709677416,-5.09677419354839,0.709677419354839,3.7258064516129,3.32831541218638,2.84301075268817,3.29440860215054,4.43888888888889,1233.54838709677,-437.41935483871,-599.870967741935,-1074.83870967742,-1858.5376344086,-2153.54838709677,-2139.35483870968,1014.83870967742,1141.89247311828,1324.16129032258,1590.2623655914,1816.83154121864,247.535485052293,19.8193534112746,-1.55182860999975,-82.5806463918378,-51.045161536432,-68.8516099991336,-65.0322573261876,257.445161757931,261.26566352981,283.433118861209,290.426495088967,298.056487317923,18102.8063271275,1843.02084081942,843.750905930185,-8665.34142249398,-6587.09865195096,-12301.955946114,-13652.0202670486,38048.6334950744,57150.7097570911,85761.878347532,112294.80416743,144542.587281491,"2014-01-15 fab"
39200.9144810268,1.5,319.314284733364,18.5714285714286,7.30357142857143,1057.14285714286,1097625.60546875,42,8940.79997253418,520,204.5,29600,18900.8511419373,20746.0581785436,14.5,4.07142857142857,-1.6705069124424,-2.47857142857143,-7.78341013824885,-11.4452380952381,-13.4124423963134,16.5357142857143,17.7711213517665,18.5908410138249,20.1436405529954,21.7891449052739,3.09677419354839,4.20679723502304,-2.24481566820277,-4.04642857142857,-8.7770737327189,-14.6964285714286,-16.4544930875576,5.20017281105991,6.64957757296467,7.8246831797235,9.47587557603687,11.5632296466974,5.06451612903226,-3.56451612903226,-0.887096774193548,-1.03333333333333,0.112903225806452,-3.6,-8.66129032258065,3.28225806451613,2.98387096774194,2.87123655913978,2.57440860215054,2.99534050179211,796.129032258065,261.013824884793,-176.405529953917,-338.857142857143,-813.824884792627,-1597.52380952381,-1892.53456221198,926.635944700461,1028.9400921659,1120.70506912442,1270.75760368664,1501.40911418331,267.354838463568,51.9594462697956,71.7787996810702,50.4076176597958,-30.6212001220422,0.914284733363559,-16.8921637293381,293.334561598466,278.068202749742,275.777818830698,290.60935203564,295.241126696366,19945.8271679469,800.231010596679,2643.25185141609,1643.98191652686,-7865.1104118973,-5786.86764135428,-11501.7249355173,40691.8853464905,58794.691673618,77896.7679356347,106507.936526076,133040.862345974,"2014-02-15 fab"
